GeneID,Name,k1’,k2,k2’,kdeg,Transport
ENSMUSG00000039735.15,Fnbp1l,-0.785261921056377,-0.999261000437428,-1.88691640033494,-2.01358747338137,-1.67291732095388
ENSMUSG00000021250.13,Fos,-0.435463160127932,-0.778078479109203,-0.597151414170604,-1.02335080408509,-0.254536095189333
ENSMUSG00000003545.3,Fosb,-0.73180850855289,-1.16189537166403,-1.06825035093688,-1.34105757284927,-0.638163487825741
ENSMUSG00000029135.10,Fosl2,0.066012449965463,-0.203164258589511,-1.26194857967976,-1.56883453990747,-0.992771871124786
ENSMUSG00000023991.16,Foxp4,-0.528149524694235,-0.593255384584697,-1.99208626099502,-2.36994132441623,-1.92698040110455
ENSMUSG00000048285.9,Frmd6,-0.61411474822099,-0.814750433787276,-1.59428630963505,-1.97125590704992,-1.39365062406877
ENSMUSG00000015312.9,Gadd45b,0.10828106637149,-0.219452833077606,-0.731090650673903,-0.780871390409719,-0.403356751224808
ENSMUSG00000033066.15,Gas7,-0.498239672893311,-0.816650451198163,-1.94979706648369,-2.4989970114663,-1.63138628817884
ENSMUSG00000028270.12,Gbp2,8.15271267829931,8.00064109553462,-1.73475422456905,-2.72179629211957,-1.58268264180436
ENSMUSG00000105504.4,Gbp5,0.291122182404849,0.122302416459719,-1.96265962736533,-2.46987321397157,-1.79383986142019
ENSMUSG00000038508.7,Gdf15,-0.429814652236426,-0.98895795553839,-0.834517719068756,-1.2117994896559,-0.275374415766791
ENSMUSG00000028214.13,Gem,-0.081248382765371,-0.378626599014425,-1.23639134919781,-1.83451332812929,-0.939013132948759
ENSMUSG00000002797.9,Ggct,-0.268854080823278,-0.254742113922678,-1.87573898668749,-2.5570406338643,-1.88985095358809
ENSMUSG00000021303.14,Gng4,-0.19514917772072,-0.457558173328369,-1.60814195060438,-2.73822639424254,-1.34573295499673
ENSMUSG00000021298.8,Gpr132,6.68853544698403,6.35460920135567,-1.93390363706486,-2.14227589118134,-1.5999773914365
ENSMUSG00000016283.13,H2-M2,-0.188784073114855,-0.525163684466056,-2.13563492649694,-2.53875489846327,-1.79925531514573
ENSMUSG00000060550.15,H2-Q7,0.592635533150217,0.212684969475887,-2.18902157150954,-2.52501912416837,-1.80907100783521
ENSMUSG00000024486.5,Hbegf,0.268888061278456,-0.032467388885224,-1.45356899736022,-2.04668452790807,-1.15221354719654
ENSMUSG00000043421.8,Hilpda,-0.415036113576674,-0.743234612379639,-1.08274820501703,-1.46133876091728,-0.75454970621406
ENSMUSG00000021366.8,Hivep1,0.040176009232233,-0.221928605316094,-1.80067357031029,-2.30378736191076,-1.53856895576196
ENSMUSG00000024095.15,Hnrnpll,0.197324798317267,0.160967386413453,-2.5143088005238,-2.43022474656813,-2.47795138861998
ENSMUSG00000034997.4,Htr2a,-0.524429883329958,-0.844972988210258,-1.27725161418239,-1.715763516614,-0.956708509302093
ENSMUSG00000006205.13,Htra1,-1.66674285356925,-2.76556224780714,-1.59211581478171,-1.978953610159,-0.493296420543813
ENSMUSG00000037405.8,Icam1,0.017835568057121,-0.222724825571472,-1.74711550493424,-2.12698542047597,-1.50655511130564
ENSMUSG00000000732.9,Icosl,0.182856586870945,-0.094462724186621,-2.1208885932444,-2.08278386640913,-1.84356928218684
